TableOnFileGroup	Schema Name	Table Name	Data Element	OrdinalPosition	Data Type	Max Len	Prec	Scale	Identity	NOT NULL	References	Default Value
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_csi_clay_free_lt2mmbase	44	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_fsi_clay_free_lt2mmbase	45	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_clay_clay_free_2mmbase	46	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wf_25	47	decimal	          	10	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wf_520	48	decimal	          	10	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wf_2075	49	decimal	          	10	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wf_0175	50	decimal	          	10	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_3_inch_sieve	51	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_2_inch_sieve	52	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_1_and_1_half	53	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_1_inch_sieve	54	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_3_quarter_inch	55	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_3_eights_inch	56	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_no_4_sieve	57	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_no_10_sieve	58	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_no_40_sieve	59	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_no_200_sieve	60	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_20_micron_siev	61	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_5_micron_sieve	62	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	percent_passing_2_micron_sieve	63	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	cumulative_curve_less_than_1mm	64	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	cumulative_curve_lt_1_half_mm	65	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	cumulative_curve_lt_1_fourthmm	66	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	cumulative_curve_lt_1_tenth_mm	67	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	cumulative_curve_lt_5_hundredt	68	decimal	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	cumulative_curve_size_lt_60_pe	69	decimal	          	12	2				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	cumulative_curve_size_lt_50_pe	70	decimal	          	13	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	cumulative_curve_size_lt_10_pe	71	decimal	          	13	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	gradiation_uniformity	72	decimal	          	13	1				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	gradation_curvature	73	decimal	          	11	1				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	le_third_ovendry_whole_soi	74	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	le_third_bar_to_oven_dry_rewet	75	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	le_third_fifteen_whole_soil	76	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	void_ratio_third_bar_lt_2_mm	77	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	void_ratio_third_bar_whole_soi	78	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	water_retention_difference_ws	79	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	pores_drained_third_bar_ws	80	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	pores_filled_third_bar_ws	81	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	natural_key	1	varchar	10	          	          		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	result_key	2	int	          	10	0		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	result_type	3	varchar	128	          	          		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	result_source_key	4	int	          	10	0		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	analyte_key	5	int	          	10	0		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	prep_key	6	int	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	result_value	7	varchar	128	          	          				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	procedure_key	8	int	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	analyzed_size_frac	9	varchar	128	          	          				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	analyte_abbrev	10	varchar	25	          	          		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	prep_abbrev	11	varchar	64	          	          				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	prep_code	12	varchar	64	          	          				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	analyte_format	13	varchar	20	          	          		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	site_key	14	int	          	10	0				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	source_system_key	15	int	          	10	0		NOT NULL		
