TableOnFileGroup,Schema Name,Table Name,COLUMN_NAME2,column_length,Data Element,OrdinalPosition,Data Type,Max Len,Prec,Scale,Identity,NOT NULL,References,Default Value
FG1,dbo,lab_analysis_procedure,notes,5,notes,10,varchar,240,          ,          ,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,labsampnum,10,labsampnum,1,varchar,10,          ,          ,,NOT NULL,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,result_source_key,17,result_source_key,2,int,          ,10,0,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,prep_code,9,prep_code,3,varchar,64,          ,          ,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,bulk_density_3rd_bar_for_calc,29,bulk_density_3rd_bar_for_calc,4,decimal,          ,4,2,,NOT NULL,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,bulk_density_3rd_bar_source,27,bulk_density_3rd_bar_source,5,varchar,7,          ,          ,,NOT NULL,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,particle_density_for_calc,25,particle_density_for_calc,6,decimal,          ,4,2,,NOT NULL,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,particle_density_calc_sour,26,particle_density_calc_sour,7,varchar,7,          ,          ,,NOT NULL,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,bulk_density_third_bar_ws,25,bulk_density_third_bar_ws,8,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,bulk_density_oven_dry_ws,24,bulk_density_oven_dry_ws,9,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,bulk density saturated whole so,31,bulk_density_saturated_whole_so,10,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,volume_pct_lt_2_mm_third_ws,27,volume_pct_lt_2_mm_third_ws,11,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,volume_pct_usda_sand_ws,23,volume_pct_usda_sand_ws,12,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,vol_pct_usda_silt_third_bar_ws,30,vol_pct_usda_silt_third_bar_ws,13,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,volume_pct_usda_clay_ws,23,volume_pct_usda_clay_ws,14,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_pores_drained_third_bar_ws,30,pct_pores_drained_third_bar_ws,15,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_pores_filled_third_bar_ws,29,pct_pores_filled_third_bar_ws,16,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_gt_2_mm_clay_free_ws,27,wt_pct_gt_2_mm_clay_free_ws,17,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_2_75_mm_clay_free_ws,27,wt_pct_2_75_mm_clay_free_ws,18,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_2_20_mm_clay_free_ws,27,wt_pct_2_20_mm_clay_free_ws,19,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_sand_clay_free_ws,24,wt_pct_sand_clay_free_ws,20,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_silt_clay_free_ws,24,wt_pct_silt_clay_free_ws,21,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_tot_clay_clay_free_ws,28,wt_pct_tot_clay_clay_free_ws,22,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_vcs_clay_free_lt2mmbase,30,wt_pct_vcs_clay_free_lt2mmbase,23,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_cs_clay_free_lt2mmbase,29,wt_pct_cs_clay_free_lt2mmbase,24,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_ms_clay_free_lt2mmbase,29,wt_pct_ms_clay_free_lt2mmbase,25,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_fs_clay_free_lt2mmbase,29,wt_pct_fs_clay_free_lt2mmbase,26,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_vfs_clay_free_lt2mmbase,30,wt_pct_vfs_clay_free_lt2mmbase,27,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_csi_clay_free_lt2mmbase,30,wt_pct_csi_clay_free_lt2mmbase,28,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_fsi_clay_free_lt2mmbase,30,wt_pct_fsi_clay_free_lt2mmbase,29,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pct_clay_clay_free_2mmbase,29,wt_pct_clay_clay_free_2mmbase,30,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,25,5,wf_25,31,decimal,          ,10,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,520,6,wf_520,32,decimal,          ,10,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,2075,7,wf_2075,33,decimal,          ,10,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,175,7,wf_0175,34,decimal,          ,10,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,percent_passing_3_inch_sieve,28,percent_passing_3_inch_sieve,35,decimal,          ,10,0,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,bulk_density_whole_soil_moist,29,bulk_density_whole_soil_moist,36,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,weight_percent_gt_2_mm_ws,25,weight_percent_gt_2_mm_ws,37,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,weight_percent_gt_250_mm_ws,27,weight_percent_gt_250_mm_ws,38,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,weight_pct_75_to_250_mm_ws,26,weight_pct_75_to_250_mm_ws,39,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,weight_pct_2_to_75_mm_ws,24,weight_pct_2_to_75_mm_ws,40,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,weight_pct_20_to_75_mm_ws,25,weight_pct_20_to_75_mm_ws,41,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,weight_pct_5_to_20_mm_ws,24,weight_pct_5_to_20_mm_ws,42,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,cumulative_curve_lt_1_fourthmm,30,cumulative_curve_lt_1_fourthmm,43,decimal,          ,10,0,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,cumulative_curve_lt_1_tenth_mm,30,cumulative_curve_lt_1_tenth_mm,44,decimal,          ,10,0,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,cumulative_curve_lt_5_hundredt,30,cumulative_curve_lt_5_hundredt,45,decimal,          ,10,0,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,cumulative_curve_size_lt_60_pe,30,cumulative_curve_size_lt_60_pe,46,decimal,          ,12,2,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,cumulative_curve_size_lt_50_pe,30,cumulative_curve_size_lt_50_pe,47,decimal,          ,13,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,cumulative_curve_size_lt_10_pe,30,cumulative_curve_size_lt_10_pe,48,decimal,          ,13,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,gradiation_uniformity,21,gradiation_uniformity,49,decimal,          ,13,1,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,gradation_curvature,19,gradation_curvature,50,decimal,          ,11,1,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,third_ovendry_whole_soi,26,le_third_ovendry_whole_soi,51,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,third_bar_to_oven_dry_rewet,30,le_third_bar_to_oven_dry_rewet,52,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,third_fifteen_whole_soil,27,le_third_fifteen_whole_soil,53,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,void_ratio_third_bar_lt_2_mm,28,void_ratio_third_bar_lt_2_mm,54,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,void_ratio_third_bar_whole_soi,30,void_ratio_third_bar_whole_soi,55,decimal,          ,15,3,,,,
